chunk_size,num_retrieved_chunks,precision,recall,iou_score,execution_time,num_chunks
25,1,0.3500565661047027,0.1640958235760365,0.13737654561951684,1.037956953048706,289
25,3,0.2744142541647364,0.3690266265666398,0.18574604586227866,0.9642291069030762,289
25,5,0.20957040748050487,0.4563343190093149,0.16318309151051613,0.99198317527771,289
25,7,0.16161873149680223,0.4759723114007469,0.13170323881004353,0.97446608543396,289
25,10,0.12298462186907666,0.5253130234257922,0.1064100590413948,1.016737937927246,289
50,1,0.37518339373585885,0.3391849527940131,0.24127192026398298,1.1444406509399414,146
50,3,0.2418702221694029,0.5744677769227094,0.20454119012424068,1.1085929870605469,146
50,5,0.1611941293165653,0.6375532872903739,0.1449397616923127,1.0892858505249023,146
50,7,0.13147956148055198,0.7246354169332337,0.12262611396000415,1.010923147201538,146
50,10,0.1059280778764639,0.789335481469357,0.10318161653065487,1.0581531524658203,146
100,1,0.27363580543706056,0.4542988829286579,0.2325876728706773,1.0337488651275635,75
100,3,0.1618183824581246,0.7716084547271481,0.15188170620834218,1.0439257621765137,75
100,5,0.1233223448604873,0.8934208717614903,0.12009079217625088,1.0615148544311523,75
100,7,0.09611172585304563,0.9389805966706801,0.09558873439654773,1.1065411567687988,75
100,10,0.06829782499166817,0.9543199347236614,0.068109902771427,1.1747820377349854,75
200,1,0.1467834656404526,0.45959738351631213,0.13829330619613103,1.0389840602874756,39
200,3,0.10941102565158223,0.8943420385070171,0.10827286531236517,1.1181907653808594,39
200,5,0.06961718243173297,0.9390201465201465,0.06949688586910083,1.1553459167480469,39
200,7,0.051611020432743016,0.9642857142857143,0.051611020432743016,1.2269301414489746,39
200,10,0.036944369179533205,0.9642857142857143,0.036944369179533205,1.2246012687683105,39
300,1,0.1178609527136661,0.47536768459335754,0.1075782413556157,1.0734317302703857,27
300,3,0.0859492553784702,0.9413919413919414,0.08590008677485854,1.1581699848175049,27
300,5,0.05323255010135275,0.9751190476190477,0.05318708771030838,1.2351186275482178,27
300,7,0.039198207996044065,0.9821428571428571,0.039198207996044065,1.2535967826843262,27
300,10,0.029399620465602794,0.9821428571428571,0.029399620465602794,1.3205220699310303,27
400,1,0.10777939338223679,0.6225590288140277,0.10372433878871946,0.8222000598907471,20
400,3,0.05876603965657994,0.9623809523809523,0.05870235813631248,0.8726131916046143,20
400,5,0.03675060528766646,0.9770238095238095,0.03672988698347474,0.8944921493530273,20
400,7,0.02890840556886315,0.9821428571428571,0.02890840556886315,0.9615542888641357,20
400,10,0.02424054228718867,0.9821428571428571,0.02424054228718867,1.037642002105713,20
800,1,0.06252375303118621,0.6366666666666667,0.062471347200432854,0.8932919502258301,11
800,3,0.03339848829377362,0.9642857142857143,0.03339848829377362,0.9369289875030518,11
800,5,0.02563438480487031,0.9821428571428571,0.02563438480487031,1.0203030109405518,11
800,7,0.023380597649229957,0.9821428571428571,0.023380597649229957,1.9050920009613037,11
800,10,0.02313130071305631,0.9821428571428571,0.02313130071305631,1.2957279682159424,11
